"","Date","ECB","Austria","Belgium","Cyprus","Germany","Estonia","Finland","France","Greece","Ireland","Italy","Lithuania","Luxembourg","Latvia","Malta","Netherlands","Portugal","Slovenia","Slovakia","Spain","Extra EU"
"1",2008-05-31,34166.77,-24462.09,-53759.33,-2143.93,91759.28,NA,-2117.1,-49681.74,-19257.54,-2789.27,29857.24,NA,19589.82,NA,-751.18,10213.42,-13285.4,-3541.34,NA,-13949.89,152.28
"2",2008-06-30,34238.79,-24658.99,-56768.9,-2066.21,95534.57,NA,-3279.66,-67582.52,-21796,-4986.42,48878.62,NA,9067.99,NA,-852.85,21912.43,-12605.82,-3580.56,NA,-11893.53,439.06
"3",2008-07-31,34142.35,-18960.41,-56636.01,-2794.79,94241.33,NA,-2981.43,-66121.8,-17523.54,-13491.29,58402.89,NA,16154.41,NA,-1006.26,13329.47,-13370.96,-3641.85,NA,-19917.19,175.07
"4",2008-08-31,36400.52,-25690.37,-55600.17,-2668.67,108085.23,NA,-2762.5,-73477.12,-15552.54,-15055.41,67574.05,NA,18200.27,NA,-1058.78,7272.87,-16502.93,-3802.7,NA,-25538.58,176.83
"5",2008-09-30,101716.85,-24545.39,-103913.62,-3800.1,99957.52,NA,702.06,-54288.94,-14497.43,-25832.92,39719.93,NA,16924.35,NA,-970.25,10415.87,-14220.55,-3584.28,NA,-23970,186.89
"6",2008-10-31,238123.27,-38594.29,-90870.9,-5885.47,70196.04,NA,-1745.21,-107233.84,-21272.28,-42264.97,25816.23,NA,6150.9,NA,-710.56,7087.55,-17153.29,-3491.12,NA,-18329.62,177.55
"7",2008-11-30,219188.24,-37527.77,-83471.21,-5631.57,93376.88,NA,-588.42,-119078.99,-26017.87,-45092.68,26799.83,NA,22084.76,NA,-559.82,5097.32,-18669.98,-3699.03,NA,-26461.11,251.44
"8",2008-12-31,234888.54,-35699.24,-104233.27,-6542.39,115294.73,NA,5197.48,-117683.98,-35348.31,-44363.65,22919.28,NA,42120.98,NA,-664.94,-18786.48,-18952.81,-3569.81,NA,-34988.89,412.77
"9",2009-01-31,172542.75,-32138.44,-84809.7,-6662.27,133692.35,NA,1821.18,-107163.39,-35310.68,-44750.79,50650.3,NA,24628.65,NA,750.01,-11970.93,-15974.07,-3581.17,-9387.25,-32549.91,213.37
"10",2009-02-28,148597.58,-26206.28,-85541.47,-6682.47,147303.88,NA,4951.48,-90516.68,-31968.06,-64050.37,54902.33,NA,28232.42,NA,857.42,-11798.23,-16377.79,-2727.12,-11654.49,-37521.99,199.83
"11",2009-03-31,163151.41,-27415.07,-87011.58,-8384.81,151680.72,NA,1453.42,-81345.22,-36851.52,-92053.65,70016.25,NA,33899.9,NA,-57.07,-23477.46,-17168.69,-2971.52,-12622.48,-32140.34,1297.72
"12",2009-04-30,132066.22,-22967.1,-83128.59,-7555.41,151774.18,NA,592.83,-60029.41,-46774.57,-98158.34,67299.91,NA,31672.46,NA,325.11,-8308.72,-16070.3,-2756.77,-13441.33,-25761.61,1221.45
"13",2009-05-31,110431.72,-23545.79,-73683.14,-8872.79,139664.01,NA,4008.86,-46474.86,-38535.59,-98331.58,72635.03,NA,30752.19,NA,-144.74,-8673.74,-15925.89,-3055.55,-14544.93,-26938.99,1235.79
"14",2009-06-30,69016.91,-26646.4,-55941.51,-8869.87,171052.13,NA,4990.06,-50211.06,-44721.81,-98793.53,73591.07,NA,33971.62,NA,232.38,-1469.06,-13662.27,-3707.97,-14993.67,-35259.89,1422.84
"15",2009-07-31,48865.13,-22414.97,-54677.04,-8192.38,161956.23,NA,1199.61,-49149.74,-38128.54,-72578.61,66968.34,NA,41424.39,NA,370.08,-957.52,-17891.58,-3474.15,-15853.42,-39275.33,1809.48
"16",2009-08-31,46627.75,-20192.18,-48870.5,-8298.67,159718.38,NA,-579.69,-74894.79,-36092.99,-56359.82,61438.15,NA,44670,NA,-2.39,14558.76,-19636.29,-3302.95,-15180.08,-45374.7,1772.01
"17",2009-09-30,35914.93,-24808.37,-53356.03,-6130.66,179035.04,NA,-379.67,-92335.71,-38654.81,-50264.4,82168.72,NA,55733.22,NA,-307.15,-2104.06,-20292.29,-2938.7,-15764.87,-47375.91,1860.73
"18",2009-10-31,23529.89,-25928.38,-42799.88,-5541.37,154346.41,NA,-1664.97,-81530,-40832.08,-41105.74,81503.72,NA,47250.53,NA,-337.78,13246.31,-22209.99,-3055.7,-15987.99,-41216.91,2333.94
"19",2009-11-30,17767.28,-26136.26,-39282.12,-5226.11,160779.67,NA,-1614.35,-81544.78,-37870.34,-36567.15,59995.46,NA,48361.13,NA,-674.81,11101.29,-23516.98,-3027.12,-15467.81,-29553.89,2476.87
"20",2009-12-31,3971.3,-19630.18,-42519.76,-7121.97,177722.51,NA,9534.82,-62007.93,-49036.06,-53518.91,54753.36,NA,52499.63,NA,-813.71,15428.68,-23436.35,-3344.62,-14520.63,-41135.02,3174.84
"21",2010-01-31,-3546.5,-23495.01,-33822.39,-8001.22,177759.59,NA,2084.27,-77891.14,-48233.49,-51575.05,77579.21,NA,50319.87,NA,-773.79,14480.45,-22176.17,-2439.66,-14615.14,-37404.89,1751.06
"22",2010-02-28,-4462.82,-25340.86,-39509.55,-8271.99,197483.01,NA,4015.26,-63589.87,-53455.34,-47040.46,62104.46,NA,50807.13,NA,-791.81,14952.12,-28636,-3001.27,-15297.95,-41702.64,1738.59
"23",2010-03-31,-6268.59,-31746.03,-41043.21,-9082.25,207417.81,NA,5644.31,-54229.49,-60919.2,-38062.83,48702.16,NA,52711.32,NA,-812.83,13635.96,-27712.42,-2758.74,-14466.46,-43305.44,2295.93
"24",2010-04-30,-6714.2,-26638.32,-32799.33,-9040.08,213678.4,NA,6032.63,-52553.83,-82603.8,-41816.25,43915.6,NA,55936.22,NA,-733.14,17712.7,-33790.78,-2562.54,-14146.95,-35739.13,1862.81
"25",2010-05-31,-6920.32,-32256.95,-41421.37,-9828.38,255465.34,NA,12652.58,-29607.51,-79500.47,-58472.1,35073.15,NA,63985.31,NA,-837.58,38987.66,-52814.25,-3123.5,-14880.26,-78140.69,1639.34
"26",2010-06-30,-16433.03,-34333.14,-34552.13,-7764.83,249416.9,NA,29533.79,8674.45,-84711.54,-65665.79,21839.38,NA,81669.17,NA,-862.54,33182.19,-58087.14,-3094.42,-15038.13,-105618.1,1844.92
"27",2010-07-31,-16994.04,-23787.96,-24284.47,-8346,271224.97,NA,15931.52,-19889.45,-90782.51,-53636.23,33601.03,NA,68497.37,NA,-1202.48,35479.64,-68158.12,-2711.13,-13928.78,-102066.28,1052.93
"28",2010-08-31,-18010.61,-25104.71,-19876.84,-9336.77,282598.75,NA,3339.02,-26362.29,-94044.33,-65159.27,28135.96,NA,67460.72,NA,-836.5,46192.47,-68859.93,-3044.02,-14161.49,-84096.54,1166.39
"29",2010-09-30,-18400.03,-26224.95,-17198.52,-8949.44,309980.47,NA,6264.04,-31390.77,-87868.28,-103697.82,15459.59,NA,67021.8,NA,-1067.24,32543.37,-61293.43,-2717.2,-14451.11,-59130.6,1120.12
"30",2010-10-31,-18263.87,-25040.64,-13938.53,-8989.25,286663.75,NA,4414.47,-23079.59,-91573.26,-116649.37,29943.48,NA,68608.84,NA,-1168.56,28146.06,-60512.59,-3046.34,-12982.68,-43038.26,506.34
"31",2010-11-30,-19212.45,-25754.11,-16736.45,-8202.49,299445.22,NA,6844.46,-11771.66,-93537.35,-138506.81,30524.16,NA,66870.97,NA,-1068.5,28583.53,-58619.61,-2971.71,-13351.05,-42955.57,419.42
"32",2010-12-31,-22369.74,-27467.06,-13855.83,-6444.23,325556.43,NA,19685.53,-28348.77,-87088.09,-145185.18,3410.28,NA,67923.76,NA,-1222.58,40499.85,-59912.24,-2092.63,-13311.47,-50922.53,1144.49
"33",2011-01-31,-21037.22,-30443.75,-13009.96,-6833.41,302629.65,-341.36,5219.06,-18703.87,-87308.78,-134149.9,27700.25,NA,67945.13,NA,-1319.28,34419.13,-62188.69,-2248.19,-12768.1,-48086.44,525.71
"34",2011-02-28,-20371.34,-29139.39,-13639.31,-7191.14,320709.55,-202.9,4073.7,-25812.23,-85859.72,-140993.24,19634.26,NA,69729.66,NA,-1264.94,29146.07,-62211.65,-1927.43,-12071.03,-42965.59,356.67
"35",2011-03-31,-20995.87,-32801.32,-13441.82,-7029.82,323228.61,77.36,8822.99,-22420.36,-76455.14,-139624.23,823.26,NA,68588.75,NA,-1284.23,25392.17,-60315.88,-1277.34,-11782.34,-40028.01,523.22
"36",2011-04-30,-21357.68,-31597.23,-13180.58,-6773.84,309107.45,-178.02,4812.86,-22666.46,-83036.73,-132673.9,12018.58,NA,68162.58,NA,-1388.31,38407.7,-68843.7,-1696.38,-11936.17,-37533.2,353.02
"37",2011-05-31,-21108.32,-34245.49,-13372.53,-7032.66,323641.36,123.72,7040.7,-28879.32,-91349.44,-125680.19,13865.92,NA,70864.57,NA,-1249.41,39838.42,-66537.58,-1738.73,-11548.38,-53063.12,430.48
"38",2011-06-30,-20659.59,-35071.8,-21285.43,-6369.62,336540.7,-147.92,14566.4,-18318.45,-96802.45,-128649.18,5997.08,NA,69769.35,NA,-1862.23,20541.06,-57258.71,-1945.71,-14132.79,-45360.66,449.96
"39",2011-07-31,-20446.33,-31869.19,-19604.94,-7297.66,343662.26,54.31,6004.99,-7405.73,-91202.25,-126586.01,-16312.17,NA,76291.11,NA,-1453.99,27802.28,-61945.24,-2082.95,-11246.8,-56671.37,309.67
"40",2011-08-31,-21545.07,-33568.32,-22967.08,-7323.81,390424.43,48.2,18359.54,-33488.59,-97450.19,-119204.34,-57468.61,NA,72235.49,NA,-453.75,64750.28,-62535.94,-2306.39,-9631.13,-78224.36,349.65
"41",2011-09-30,-17563.15,-31915.23,-24111.31,-8581.81,449612.81,86,43419.97,-97730.42,-100754.49,-123320.65,-103511.09,NA,84257.1,NA,-574.27,88704.54,-57235.02,-2334.56,-11004.78,-88620.4,1176.73
"42",2011-10-31,-17218.8,-27044.24,-42357.06,-8096.78,465517.94,469.86,25759.68,-98529.74,-105688.18,-117071.95,-88598.05,NA,83240.52,NA,-686.74,110093.23,-58731.76,-2553.12,-10875.76,-108487.59,858.55
"43",2011-11-30,-16809.26,-30690.78,-43132.43,-8745.6,495164.18,493.09,41868.93,-88685.53,-109315.07,-120321.95,-147535.09,NA,97387.17,NA,-338.44,143057.6,-61718.87,-2634.78,-11464.02,-137178.03,598.88
"44",2011-12-31,42158.68,-34590.88,-52867.17,-7907.75,463134.19,637.98,66008.14,-77423.73,-104750,-120433.86,-191379.25,NA,109423.24,NA,-422.46,152782.81,-60923.11,-2733.49,-13622.09,-174978.7,7887.45
"45",2012-01-31,40486.21,-34978.42,-52248.18,-8983.44,498131.36,558.83,51456.56,-113666.33,-107426.56,-106282.84,-180129.68,NA,103525.34,NA,-737.23,168882.51,-62645.71,-3297.73,-11009.6,-183786.26,2151.15
"46",2012-02-29,43700.7,-35802.99,-52481.63,-10160.48,547046.72,475.12,44198.03,-93289.51,-107267.02,-96732.92,-194081.59,NA,98297.22,NA,-583.23,143765.94,-63978.28,-4060.2,-10051.64,-211425.46,2431.23
"47",2012-03-31,2934.66,-37914.14,-38588.88,-7962.1,615591.53,617.62,73143.58,-46070.6,-103735.62,-96000.7,-270408.14,NA,115105.64,NA,-1096.34,154905.16,-74538.27,-5366.09,-8048.38,-276033.43,3464.5
"48",2012-04-30,3682.41,-41545.68,-34972.52,-8445.12,644182.01,787.38,61993.79,-22890.57,-98046.82,-98688.06,-279378.78,NA,120297.43,NA,-695.86,136050.42,-68809.61,-5472.26,-7269.44,-302840.66,2061.93
"49",2012-05-31,7409.73,-42639.92,-38406.81,-10779.86,698567.1,723.05,53683.1,-44207.25,-101554.51,-97204.15,-274626.23,NA,123990.43,NA,-1223.77,142510.64,-62689.55,-5297.16,-5733.14,-345105.51,2583.8
"50",2012-06-30,11928.49,-39083.54,-31069.09,-11272.87,728566.72,698.78,72473.68,-10176.71,-105987.46,-100092.21,-274291.3,NA,125259.65,NA,-1132.84,123299.44,-74323.74,-5166.04,-5269.69,-408419.79,4058.53
"51",2012-07-31,15120.62,-41045.53,-41090.88,-10433.54,727206.15,774.59,59139.99,4021.05,-105044.04,-94063.72,-280092.85,NA,123996.93,NA,-1356.04,130420.19,-72515.46,-5754.33,-4072.87,-423272.35,18062.09
"52",2012-08-31,9525.86,-42573.45,-35782.88,-10219.18,751449.18,674.78,62481.29,7178.07,-107876.06,-91409.2,-289320.07,NA,116561.72,NA,-1233.59,124968.44,-72026.7,-5818.74,-2540.57,-434427.77,20388.87
"53",2012-09-30,628.74,-40713.61,-29084.96,-9926.04,695458.43,637.17,70401.78,6138.49,-107839.91,-84412.83,-280767.47,NA,113140.32,NA,-532.69,119481.19,-71723.21,-5737.28,-1551.75,-400140.76,26544.38
"54",2012-10-31,1057.39,-40733.84,-39303.58,-9857.33,719351.98,683.31,75770.77,-40983.11,-108395.93,-84844.64,-266742.38,NA,109363.39,NA,-467.15,117921.22,-69600.93,-4159.38,-2148.38,-380436.66,23525.26
"55",2012-11-30,571,-39203.14,-34471.47,-9010.49,715123.89,594.04,51812.5,-58962.71,-108459.76,-83046.17,-246954.73,NA,105278.98,NA,-137.51,118629.96,-66608.75,-4653.32,854.59,-366048.31,24691.39
"56",2012-12-31,-2196.49,-39926.36,-38160.89,-7468.26,655669.74,1740.6,70603.37,-54799.3,-98355.19,-79259.18,-255101.9,NA,106160.49,NA,-201.26,120771.92,-66025.85,-4438.76,887.16,-337344.47,27444.65
"57",2013-01-31,-6444.32,-43231.95,-24415.61,-7463.98,616937.24,1574.23,44316.15,-63764.7,-87022.16,-70867.2,-228162.88,NA,99039.5,NA,407.63,124929.54,-62922.83,-4796.94,1086.06,-309414.22,20216.42
"58",2013-02-28,-4455.35,-42696.81,-16841.63,-8177.49,612572.17,1576.53,43179.54,-60312.02,-78140.2,-67922.62,-256397.22,NA,98132.98,NA,397.76,121102.65,-63369.31,-5110.67,5374.57,-297127.98,18215.1
"59",2013-03-31,-3946.56,-40422.22,-10623.49,-9302.06,588722.24,1485.9,34083.56,-26982.17,-71400.03,-60059.51,-242939.26,NA,102654.97,NA,618.2,82766.01,-63225.05,-4951.83,4810.37,-296902.31,15613.25
"60",2013-04-30,-3572.67,-38756.69,-15927.42,-9388.77,607865.71,1484.42,35779.42,-44847.22,-73545.82,-67853.51,-242310.77,NA,103611.7,NA,426.55,85660.2,-66270.66,-5010.96,5972.65,-289121.12,15804.95
"61",2013-05-31,-7311.99,-38706.74,-12667.08,-7364.97,589188.97,1631.28,29195.81,-44109,-65451.39,-61596.02,-228910.28,NA,99112.23,NA,377.48,75645.5,-63186.29,-3009.84,6857.32,-284901.33,15206.34
"62",2013-06-30,-7169.3,-41221.12,-12166.98,-7129.13,575476.61,1591.85,23794.74,-41262.45,-59306.96,-57003.03,-222985.9,NA,103276.41,NA,376.82,74224.77,-62947.39,-3233.23,7337.45,-282598.86,10945.69
"63",2013-07-31,-7338.06,-44777.58,-14868.26,-6939.12,576469.04,1332.34,20550.96,-30045.28,-53329,-55462.78,-211122.92,NA,100443.06,NA,363.55,61684.14,-64744.52,-3741.08,8055,-281423.92,4894.43
"64",2013-08-31,-7540.69,-40477.85,-14692.29,-7049.34,573628.27,1360.49,26682.38,-11559.11,-53840.35,-57040.49,-233786.06,NA,105082.47,NA,458.59,53438.76,-64398.2,-3571.1,7058,-281587.73,7834.25
"65",2013-09-30,-7078,-37836.39,-11692.93,-7089.25,570368.08,1304.94,18334.74,-25862.88,-52381.89,-56598.08,-233176.42,NA,102620.81,NA,459.19,62879.76,-68364.45,-3589.13,6942.73,-268525.13,9284.29
"66",2013-10-31,-6808.02,-40523.15,-10162.83,-7134.22,561496.99,1244.94,13772.59,-36431.45,-49664.61,-57370.96,-210893.57,NA,104217.74,NA,401.18,63005.86,-69564.47,-3566.22,6381.97,-264183.96,5782.21
